id,name,size_g,size_ml,size_oz,price,sub_category_id,collection_id,description,detail_description,ingredient,is_deleted
1,ROSE PALE,156,,,18000,12,1,"여린 핑크빛 장미의 뽀얗고 클린한 향을 담아낸 95% 천연 식물 유래 성분 베지터블 솝. 조밀하고 풍성한 거품이 산뜻하고 뽀득한 세정감을 주고, 강력한 보습력의 히알루론산과 다섯 가지 종류의 식물성 바디 컨디셔닝 성분이 피부를 촉촉하게 보호합니다.","<p>천연 식물 유래 성분 95%로 이루어진 깨끗한 장미 향의 베지터블 솝입니다.</p><p>조밀하고 풍성한 거품이 산뜻하면서 뽀드득한 세정감을 남기고, 강한 보습력을 지닌 히알루론산과 라이스 오일, 코코넛 오일이 건조한 피부에 수분과 영양을 동시에 더합니다.</p><p>젖은 손으로 풍성하게 거품을 낸 뒤 손과 바디 피부를 마사지하듯 문지르고, 물로 충분히 헹구어 주세요.</p>","소듐팜커넬레이트, 소듐팔메이트, 정제수, 향료, 팜커넬애씨드, 팜애씨드, 글리세린, 소듐클로라이드, 테트라소듐이디티에이, 테트라소듐에티드로네이트, 시트로넬올, 제라니올, 헥실신남알, 부틸렌글라이콜, 1,2-헥산다이올, 올리브오일, 코코넛야자오일,",0
2,CANOPEE,156,,,18000,12,1,"베르가못과 얼그레이의 향이 프레시하게 어우러진 95% 천연 식물 유래 성분 베지터블 솝. 조밀하고 풍성한 거품이 산뜻하고 뽀득한 세정감을 주고, 강력한 보습력의 히알루론산과 다섯 가지 종류의 식물성 바디 컨디셔닝 성분이 피부를 촉촉하게 보호합니다.","<p>천연 식물 유래 성분 95%로 이루어진 프레시한 베르가못 향의 베지터블 솝입니다.</p><p>조밀하고 풍성한 거품이 산뜻하면서 뽀드득한 세정감을 남기고, 강한 보습력을 지닌 히알루론산과 라이스 오일, 코코넛 오일이 건조한 피부에 수분과 영양을 동시에 더합니다.</p><p>젖은 손으로 풍성하게 거품을 낸 뒤 손과 바디 피부를 마사지하듯 문지르고, 물로 충분히 헹구어 주세요.</p>","소듐팜커넬레이트, 소듐팔메이트, 정제수, 향료, 팜커넬애씨드, 팜애씨드, 글리세린, 소듐클로라이드, 테트라소듐이디티에이, 테트라소듐에티드로네이트, 쿠마린, 제라니올, 리모넨, 리날룰, 부틸렌글라이콜, 1,2-헥산다이올, 황련뿌리추출물, 올리브오일",0
3,GAIAC FLOWER TRAVEL,,100,3.3,18000,5,2,스모키하게 변주된 오리엔탈 플로럴 향의 가이악플라워. 바디워시와 완벽한 페어를 이룰 트래블 사이즈의 바디로션입니다.,<p>바디워시와 완벽한 페어를 이룰 트래블 사이즈의 바디로션입니다. 완벽한 유수분 밸런스가 환경의 변화로 예민해진 피부를 부드럽게 안정시켜 줍니다.<p>,"정제수, 글리세린, 다이메티콘, 부틸렌글라이콜, 하이드로제네이티드폴리아이소부텐, 카프릴릭/카프릭트라이글리세라이드, 아이소노닐아이소노나노에이트, 1,2-헥산다이올, 세테아릴알코올, 네오펜틸글라이콜다이헵타노에이트, 베헤닐알코올, 페닐트라이메티콘, 향료, 솔비톨, 세틸알코올, 스테아릴알코올, 글리세릴스테아레이트, 세테아릴글루코사이드",0
4,FORGET ME NOT TRAVEL,,100,3.3,18000,5,2,"스파이시 페퍼, 앰버, 그린 노트의 독특한 조합으로 신비롭고 매혹적인 새로운 무드의 시트러스 향. 바디워시와 완벽한 페어를 이룰 트래블 사이즈의 바디로션입니다.",<p>바디워시와 완벽한 페어를 이룰 트래블 사이즈의 바디로션입니다. 완벽한 유수분 밸런스가 환경의 변화로 예민해진 피부를 부드럽게 안정시켜 줍니다.<p>,"정제수, 글리세린, 다이메티콘, 부틸렌글라이콜, 하이드로제네이티드폴리아이소부텐, 카프릴릭/카프릭트라이글리세라이드, 아이소노닐아이소노나노에이트, 1,2-헥산다이올, 세테아릴알코올, 네오펜틸글라이콜다이헵타노에이트, 베헤닐알코올, 페닐트라이메티콘, 향료, 솔비톨, 세틸알코올",0
5,FORGET ME NOT TRAVEL,,100,3.3,18000,4,3,"스파이시 페퍼, 앰버, 그린 노트가 빚어낸 신비롭고 매혹적인 새로운 무드의 시트러스 향. 여행의 순간을 더욱 풍성하게 채워줄 트래블 사이즈의 바디워시입니다.","<p>고농축 오일이 함유된 젤타입 바디워시는 자연 유래 계면활성제를 사용합니다. 보습에 뛰어난 스윗아몬드오일, 아보카도오일, 세서미씨드오일이 피부 깊은 곳까지 영양을 공급해 씻고난 후의 건조 스트레스를 막아줍니다.</p><p>풍성한 거품과 세련된 향기는 하루를 시작하고 마무리하는 가장 내밀하고 고요한 시간에 풍성한 영감을 채워줍니다.</p>","정제수, 소듐C14-16올레핀설포네이트, 하이드롤라이즈드귀리단백질, 글리세린, 코카미도프로필베타인, 프로판다이올, 코코-글루코사이드, 소듐클로라이드, 향료, 1,2-헥산다이올",0
6,GAIAC FLOWER TRAVEL,,100,3.3,18000,4,3,스모키하게 변주된 오리엔탈 플로럴 향의 가이악플라워. 여행의 순간을 더욱 풍성하게 채워줄 트래블 사이즈의 바디워시입니다.,"<p>고농축 오일이 함유된 젤타입 바디워시는 자연 유래 계면활성제를 사용합니다. 보습에 뛰어난 스윗아몬드오일, 아보카도오일, 세서미씨드오일이 피부 깊은 곳까지 영양을 공급해 씻고난 후의 건조 스트레스를 막아줍니다.</p><p>풍성한 거품과 세련된 향기는 하루를 시작하고 마무리하는 가장 내밀하고 고요한 시간에 풍성한 영감을 채워줍니다.</p>","정제수, 소듐C14-16올레핀설포네이트, 하이드롤라이즈드귀리단백질, 글리세린, 코카미도프로필베타인, 프로판다이올, 코코-글루코사이드, 소듐클로라이드, 향료, 1,2-헥산다이올",0
7,GIFT SET,3.8,50,,39000,3,4,핸드크림과 모이스춰라이징 비건 립밤으로 구성된 세트입니다. 쉽게 건조해지는 손과 입술을 위한 데일리 모이스춰라이징 루틴을 완성하세요.,"<p>소홀해지기 쉬운 바디 케어에 향기로운 보습을 더합니다. 논픽션 시그니처 향으로 완성한 풍성한 사용감의 바디워시, 피부를 부드럽게 감싸는 바디로션과 함께 하루의 시작과 끝에 깨어나는 순수한 내면과 마주하세요.</p><p>빠르게 흘러가는 일상 속, 향기로운 호흡을 불어넣어줄 프래그런스 듀오입니다. 휴대가 간편한 포터블사이즈 향수와 핸드크림은 언제 어디서든 당신만을 위한 작은 휴식의 순간을 빚어냅니다.  리프레시가 필요한 순간, 내면의 힘을 일깨우는 논픽션의 시그니처 향과 함께하세요.</p><p>해당 제품은 기프트 박스 포장이 기본 제공되므로, 추가 선물 포장이 제공되지 않습니다. </p>","정제수, 시어버터, 카프릴릭/카프릭트라이글리세라이드, 프로판다이올, 다이프로필렌글라이콜, 다이카프릴릴에터, 사이클로메티콘, 세테아릴알코올, 세테아릴올리베이트, 향료, 솔비탄올리베이트, 1,2-헥산다이올, 글리세릴스테아레이트, 팔미틱애씨드, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 스테아릭애씨드, 트로메타민, 글리세린, 에틸헥실글리세린, 다이포타슘글리시리제이트, 잔탄검, 트라넥사믹애씨드, 부틸렌글라이콜, 다이소듐이디티에이, 하이드롤라이즈드호호바에스터, 스쿠알란, 아보카도오일, 스위트아몬드오일, 해바라기씨오일, 녹차수, 병풀추출물, 약모밀추출물, 멕시칸치아씨추출물, 소듐하이알루로네이트, 베타-글루칸, 검은깨추출물, 바이오사카라이드검-1, 흰무늬엉겅퀴씨추출물, 닥나무뿌리추출물, 프로폴리스추출물, 하이드로제네이티드레시틴, 눈빛승마추출물, 흰버드나무껍질추출물,",0
8,GIFT SET,,,,80000,3,6,포터블사이즈 향수와 핸드크림으로 구성된 프래그런스 세트입니다. 언제 어디서든 간편하고 즉각적인 리프레시를 경험하세요.,"<p>빠르게 흘러가는 일상 속, 향기로운 호흡을 불어넣어줄 프래그런스 듀오입니다. 휴대가 간편한 포터블사이즈 향수와 핸드크림은 언제 어디서든 당신만을 위한 작은 휴식의 순간을 빚어냅니다.  리프레시가 필요한 순간, 내면의 힘을 일깨우는 논픽션의 시그니처 향과 함께하세요.</p>","정제수, 시어버터, 카프릴릭/카프릭트라이글리세라이드, 프로판다이올, 다이프로필렌글라이콜, 다이카프릴릴에터, 사이클로메티콘, 세테아릴알코올, 세테아릴올리베이트, 솔비탄올리베이트, 1,2-헥산다이올, 향료, 글리세릴스테아레이트, 부틸렌글라이콜, 팔미틱애씨드, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 스테아릭애씨드, 트로메타민, 글리세린, 에틸헥실글리세린, 잔탄검, 다이포타슘글리시리제이트, 트라넥사믹애씨드, 스페인감초뿌리추출물, 에우파토리아짚신나물추출물, 녹차추출물, 다이소듐이디티에이, 하이드롤라이즈드호호바에스터, 스위트아몬드오일, 아보카도오일",0
9,GIFT SET,,300,,72000,3,7,바디워시와 바디로션으로 구성된 바디케어 세트입니다. 논픽션 베스트 프래그런스와 함께 하루의 시작과 마무리를 완성하는 건강한 보습 루틴을 경험하세요.,"<p>소홀해지기 쉬운 바디 케어에 향기로운 보습을 더합니다. 논픽션 시그니처 향으로 완성한 풍성한 사용감의 바디워시, 피부를 부드럽게 감싸는 바디로션과 함께 하루의 시작과 끝에 깨어나는 순수한 내면과 마주하세요.</p><p>빠르게 흘러가는 일상 속, 향기로운 호흡을 불어넣어줄 프래그런스 듀오입니다. 휴대가 간편한 포터블사이즈 향수와 핸드크림은 언제 어디서든 당신만을 위한 작은 휴식의 순간을 빚어냅니다.  리프레시가 필요한 순간, 내면의 힘을 일깨우는 논픽션의 시그니처 향과 함께하세요.</p><p>해당 제품은 기프트 박스 포장이 기본 제공되므로, 추가 선물 포장이 제공되지 않습니다. </p>","정제수, 시어버터, 카프릴릭/카프릭트라이글리세라이드, 프로판다이올, 다이프로필렌글라이콜, 다이카프릴릴에터, 사이클로메티콘, 세테아릴알코올, 세테아릴올리베이트, 솔비탄올리베이트, 1,2-헥산다이올, 향료, 글리세릴스테아레이트, 부틸렌글라이콜, 팔미틱애씨드, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 스테아릭애씨드, 트로메타민, 글리세린, 에틸헥실글리세린, 잔탄검, 다이포타슘글리시리제이트, 트라넥사믹애씨드, 스페인감초뿌리추출물, 에우파토리아짚신나물추출물, 녹차추출물, 다이소듐이디티에이, 하이드롤라이즈드호호바에스터, 스위트아몬드오일, 아보카도오일",0
10,GIFT SET,,300,,53000,3,8,핸드워시와 핸드크림으로 구성된 핸드케어 세트입니다. 논픽션 베스트 프래그런스와 함께 건조해지기 쉬운 손 피부에 건강한 보습 루틴을 선물하세요.,"<p>건조해지기 쉬운 손 피부에 집중적인 보습을 선사합니다. 촉촉한 사용감의 핸드 워시와 매끄럽게 흡수되는 핸드 크림은 잦은 세정으로 연약해진 손 피부를 건강하게 보호합니다. 논픽션만의 시그니처 향과 함께 건강하고 향기로운 루틴을 완성하세요.</p><p>빠르게 흘러가는 일상 속, 향기로운 호흡을 불어넣어줄 프래그런스 듀오입니다. 휴대가 간편한 포터블사이즈 향수와 핸드크림은 언제 어디서든 당신만을 위한 작은 휴식의 순간을 빚어냅니다.  리프레시가 필요한 순간, 내면의 힘을 일깨우는 논픽션의 시그니처 향과 함께하세요.</p><p>해당 제품은 기프트 박스 포장이 기본 제공되므로, 추가 선물 포장이 제공되지 않습니다. </p>","정제수, 시어버터, 카프릴릭/카프릭트라이글리세라이드, 프로판다이올, 다이프로필렌글라이콜, 다이카프릴릴에터, 사이클로메티콘, 세테아릴알코올, 세테아릴올리베이트, 솔비탄올리베이트, 1,2-헥산다이올, 향료, 글리세릴스테아레이트, 부틸렌글라이콜, 팔미틱애씨드, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 스테아릭애씨드, 트로메타민, 글리세린, 에틸헥실글리세린, 잔탄검, 다이포타슘글리시리제이트, 트라넥사믹애씨드, 스페인감초뿌리추출물, 에우파토리아짚신나물추출물, 녹차추출물, 다이소듐이디티에이, 하이드롤라이즈드호호바에스터, 스위트아몬드오일, 아보카도오일",0
11,SANTAL CREAM,,,,71000,3,9,"핸드 워시, 핸드 크림, 모이스처라이징 립밤으로 구성된 기프트 세트입니다. 논픽션의 베스트 프래그런스로 건조한 일상에 보습 루틴을 선물하세요.",<p>건조해지기 쉬운 손 피부에 집중적인 보습을 선사합니다. 촉촉한 사용감의 핸드 워시와 매끄럽게 흡수되는 핸드 크림은 잦은 세정으로 연약해진 손 피부를 건강하게 보호합니다. 논픽션만의 시그니처 향과 함께 건강하고 향기로운 루틴을 완성하세요.</p>,"정제수, 코카미도프로필베타인, 글리세린, 아크릴레이트코폴리머, 포타슘코코일글리시네이트, 다이프로필렌글라이콜, 소듐클로라이드, 포타슘코코에이트, 향료, 1,2-헥산다이올, 소듐벤조에이트, 에틸헥실글리세린, 다이소듐이디티에이, 녹차추출물, 병풀추출물, 스위트아몬드오일, 스쿠알란, 아보카도오일, 마트리카리아추출물, 토코페릴아세테이트, 귀리커넬추출물, 참깨오일, 해바라기씨오일",0
12,GENTLE NIGHT,,,,71000,3,9,"논픽션의 베스트 향이 담긴 기프트 세트입니다. 일상의 핸드 앤 립 케어에 즐거움을 더할 제품으로 구성되어 있어, 받는 사람 모두에게 특별한 리프레쉬를 선사합니다.",<p>건조해지기 쉬운 손 피부에 집중적인 보습을 선사합니다. 촉촉한 사용감의 핸드 워시와 매끄럽게 흡수되는 핸드 크림은 잦은 세정으로 연약해진 손 피부를 건강하게 보호합니다. 논픽션만의 시그니처 향과 함께 건강하고 향기로운 루틴을 완성하세요.</p>,"정제수, 코카미도프로필베타인, 글리세린, 아크릴레이트코폴리머, 포타슘코코일글리시네이트, 다이프로필렌글라이콜, 소듐클로라이드, 포타슘코코에이트, 향료, 1,2-헥산다이올, 소듐벤조에이트, 에틸헥실글리세린, 다이소듐이디티에이, 녹차추출물, 병풀추출물, 스위트아몬드오일, 스쿠알란, 아보카도오일, 마트리카리아추출물, 토코페릴아세테이트, 귀리커넬추출물, 참깨오일, 해바라기씨오일",0
13,SANTAL CREAM,,30,1.0,59000,2,10,"Sandalwood, Vetiver, Fig, Cardamom, Ginger, Bergamot. 베티버와 샌달우드, 신선한 카다멈 향의 조화로 고요하고 나른한 무드의 우디 향. 가볍게 휴대할 수 있는 포터블 사이즈의 오드 퍼퓸입니다. 언제 어디서든, 내면의 힘을 깨우는 즉각적인 리프레시를 느낄 수 있습니다.","<p>빠르게 흘러가는 일상 속, 향기로운 호흡을 불어넣어줄 프래그런스 듀오입니다. 휴대가 간편한 포터블사이즈 향수와 핸드크림은 언제 어디서든 당신만을 위한 작은 휴식의 순간을 빚어냅니다.  리프레시가 필요한 순간, 내면의 힘을 일깨우는 논픽션의 시그니처 향과 함께하세요.</p><p>해당 제품은 기프트 박스 포장이 기본 제공되므로, 추가 선물 포장이 제공되지 않습니다. </p>","정제수, 코카미도프로필베타인, 글리세린, 아크릴레이트코폴리머, 포타슘코코일글리시네이트, 다이프로필렌글라이콜, 소듐클로라이드, 포타슘코코에이트, 향료, 1,2-헥산다이올, 소듐벤조에이트, 에틸헥실글리세린, 다이소듐이디티에이, 녹차추출물, 병풀추출물, 스위트아몬드오일, 스쿠알란, 아보카도오일, 마트리카리아추출물, 토코페릴아세테이트, 귀리커넬추출물, 참깨오일, 해바라기씨오일",0
